id	flag	first_pos	second_pos	length	quality
94735620-f0c3-4cc6-8ce2-b4e11219e00b	129	2303883	2302529	-1355	1288S28M2I224M5I52M2D1M1I37M1I20M
ef033c61-6d4b-4271-9ea5-292a5ff233ac	65	4324698	4327744	3047	10S40M1D29M1D155M1D86M3D4M1I19M2D8M1I40M1D105M3I292M2D8M1D66M3D95M1I29M1D5M1D6M3D449M1D43M3D31M1D51M2I19M1I114M1D40M1I122M1I47M2D21M4I88M1I12M2D17M2D3M1D82M4D4M1I98M1I44M
ef033c61-6d4b-4271-9ea5-292a5ff233ac	129	4327744	4324698	-3047	20M1D198M1I3M2D109M1D191M2I136M1I80M1D76M1D159M3D3M2D220M1I109M1I29M5I95M2D18M3I124M1D11M
3d874f3a-5291-4bb0-93ef-179f4ec0bd2f	121	2303882	2303882	0	177M1D439M1I1166M4D101M1I597M1I256M1D272M1I3M3D4M2D24M
3d874f3a-5291-4bb0-93ef-179f4ec0bd2f	181	2303882	2303882	0	*
da5a2948-9261-4ba5-ae29-093a1b678227	73	2302211	2302211	0	7S26M1I5M1D49M1I20M1I286M1I73M2I121M1D10M1I39M943S
da5a2948-9261-4ba5-ae29-093a1b678227	133	2302211	2302211	0	*
3ce403af-2aca-44f3-9748-79313c43c221	65	2302705	2303883	1179	137M
3ce403af-2aca-44f3-9748-79313c43c221	129	2303883	2302705	-1179	253M2I3M1D34M1I14M2I1M1D313M1D78M1D223M1D21M2I226M3I255M1I395M1D251M1D244M1I775M1I27M
2aba3c2f-4bb1-4451-93df-c01dff86bb3c	113	579865	554263	-20427	126M1D73M1D26M1I15M1I1M4D5M4D24M3I25M7D138M1D14M3D53M1D71M3I73M3D4M3D214M3I6M4D55M11D5M5D10M3I2M2I2M1D166M3D48M2D92M1D22M1D13M2D58M2I39M1D191M1D24M1D116M1I2M2D2M5I66M2D49M2D297M1D136M1D55M1D69M1D81M5I2M3D40M4D36M1D129M1I109M2D14M1D142M2D14M1D10M1I32M3I219M1I71M1D60M3D86M2D34M10D3M5I69M2D16M1D125M1I24M1I3M2D2M5I3M3D15M1D7M1I7M2D10M1D21M2D47M1I149M2D178M5D9M2I26M1D9M2D203M1I4M3D4M2D4M1I19M1I3M1I205M1I8M1I1M2D226M1I29M4D189M1D169M5D6M5I5M5D6M1D10M1D4M1I397M1D2M5I19M2D14M1D139M1I192M1D33M1D46M3D38M1D48M2D62M2D4M1D7M1D9M1D6M1I78M1I1M2D210M2I3M1I17M1D85M1D61M2D228M4I59M1D99M1I181M1I178M3I25M1I9M1I102M1I13M2D78M2I7M2I324M1D74M1I17M1D10M2I101M2D90M1D6M1D194M1I321M3I29M1D181M3D8M1I6M2D166M1I125M1I8M1I5M3D158M2D264M1I43M2D22M1I1M5D2M5I8M2D27M3D61M2D40M2D72M3D213M2D35M3D93M1D22M1D21M1I28M1D17M3I86M1D6M1D177M2D37M1D61M1I79M1D28M1I188M2D12M1I10M1D22M2D4M1D4M1D33M1D15M1I5M7D6M3I69M1D82M1D133M1D102M1D64M1I76M3S
